"provincia","cantidad_escuelas_con_extranjeros","porcentaje_escuelas_por_provincia"
"Buenos Aires",5665,53.478712357217
"Catamarca",21,0.198244123477768
"Chaco",81,0.764655904842821
"Chubut",181,1.70867554045124
"Ciudad de Buenos Aires",946,8.93042575285566
"Corrientes",98,0.925139242896252
"Córdoba",765,7.22175021240442
"Entre Ríos",117,1.10450297366185
"Formosa",157,1.48211082790522
"Jujuy",190,1.793637307656
"La Pampa",65,0.613612763145473
"La Rioja",48,0.453129425092042
"Mendoza",504,4.75785896346644
"Misiones",203,1.91635986028509
"Neuquén",153,1.44435004248088
"Río Negro",233,2.19956575096762
"Salta",180,1.69923534409516
"San Juan",43,0.405928443311621
"San Luis",56,0.528650995940716
"Santa Cruz",114,1.0761823845936
"Santa Fe",630,5.94732370433305
"Santiago del Estero",20,0.188803927121684
"Tierra del Fuego",48,0.453129425092042
"Tucumán",75,0.708014726706315
