"provincia","cantidad_escuelas_con_extranjeros","porcentaje_escuelas_por_provincia"
"Buenos Aires",5718,57.8627808136005
"Catamarca",16,0.161910544424206
"Chaco",59,0.597045132564258
"Chubut",65,0.657761586723335
"Ciudad de Buenos Aires",876,8.86460230722526
"Corrientes",60,0.607164541590771
"Córdoba",755,7.6401538150172
"Entre Ríos",71,0.718478040882413
"Formosa",162,1.63934426229508
"Jujuy",152,1.53815017202995
"La Pampa",58,0.586925723537745
"La Rioja",44,0.445253997166565
"Mendoza",451,4.5638534709573
"Misiones",174,1.76077717061324
"Neuquén",116,1.17385144707549
"Río Negro",194,1.96316535114349
"Salta",159,1.60898603521554
"San Juan",46,0.465492815219591
"San Luis",48,0.485731633272617
"Santa Cruz",35,0.35417931592795
"Santa Fe",503,5.09006274033596
"Santiago del Estero",20,0.202388180530257
"Tierra del Fuego",19,0.192268771503744
"Tucumán",81,0.819672131147541
