"provincia","cantidad_escuelas_con_extranjeros","porcentaje_escuelas_por_provincia"
"Buenos Aires",5676,55.9708115570456
"Catamarca",22,0.216941130066068
"Chaco",72,0.709989152943497
"Chubut",155,1.52844887092003
"Ciudad de Buenos Aires",872,8.59875751898235
"Corrientes",64,0.631101469283108
"Córdoba",760,7.49432994773691
"Entre Ríos",75,0.739572034316142
"Formosa",173,1.7059461591559
"Jujuy",151,1.48900502908983
"La Pampa",69,0.680406271570851
"La Rioja",41,0.404299378759491
"Mendoza",496,4.89103638694409
"Misiones",169,1.66650231732571
"Neuquén",114,1.12414949216054
"Río Negro",197,1.94260921013707
"Salta",182,1.79469480327384
"San Juan",43,0.424021299674588
"San Luis",43,0.424021299674588
"Santa Cruz",102,1.00581796666995
"Santa Fe",531,5.23617000295829
"Santiago del Estero",16,0.157775367320777
"Tierra del Fuego",43,0.424021299674588
"Tucumán",75,0.739572034316142
