"provincia","cantidad_escuelas_con_extranjeros","porcentaje_escuelas_por_provincia"
"Buenos Aires",5600,56.8181818181818
"Catamarca",23,0.23336038961039
"Chaco",47,0.476866883116883
"Chubut",144,1.46103896103896
"Ciudad de Buenos Aires",887,8.99959415584416
"Corrientes",48,0.487012987012987
"Córdoba",706,7.16314935064935
"Entre Ríos",76,0.771103896103896
"Formosa",177,1.79586038961039
"Jujuy",164,1.66396103896104
"La Pampa",60,0.608766233766234
"La Rioja",37,0.375405844155844
"Mendoza",471,4.77881493506494
"Misiones",179,1.8161525974026
"Neuquén",106,1.07548701298701
"Río Negro",176,1.78571428571429
"Salta",183,1.85673701298701
"San Juan",29,0.294237012987013
"San Luis",50,0.507305194805195
"Santa Cruz",98,0.994318181818182
"Santa Fe",455,4.61647727272727
"Santiago del Estero",18,0.18262987012987
"Tierra del Fuego",39,0.395698051948052
"Tucumán",83,0.842126623376623
