"provincia","cantidad_escuelas_con_extranjeros","porcentaje_escuelas_por_provincia"
"Buenos Aires",5456,52.4413687043445
"Catamarca",20,0.192233756247597
"Chaco",68,0.65359477124183
"Chubut",185,1.77816224529027
"Ciudad de Buenos Aires",953,9.159938485198
"Corrientes",82,0.788158400615148
"Córdoba",810,7.78546712802768
"Entre Ríos",123,1.18223760092272
"Formosa",123,1.18223760092272
"Jujuy",172,1.65321030372933
"La Pampa",55,0.528642829680892
"La Rioja",36,0.346020761245675
"Mendoza",490,4.70972702806613
"Misiones",155,1.48981161091888
"Neuquén",188,1.80699730872741
"Río Negro",246,2.36447520184544
"Salta",191,1.83583237216455
"San Juan",64,0.615148019992311
"San Luis",54,0.519031141868512
"Santa Cruz",111,1.06689734717416
"Santa Fe",663,6.37254901960784
"Santiago del Estero",31,0.297962322183775
"Tierra del Fuego",49,0.470972702806613
"Tucumán",79,0.759323337178008
