"provincia","cantidad_escuelas_con_extranjeros","porcentaje_escuelas_por_provincia"
"Buenos Aires",5544,54.7339322736697
"Catamarca",19,0.187580215223615
"Chaco",72,0.710830289268437
"Chubut",173,1.70796722282555
"Ciudad de Buenos Aires",904,8.92486918748149
"Corrientes",68,0.671339717642413
"Córdoba",756,7.46371803731859
"Entre Ríos",86,0.849047289959522
"Formosa",161,1.58949550794748
"Jujuy",152,1.50064172178892
"La Pampa",64,0.631849146016389
"La Rioja",44,0.434396287886267
"Mendoza",499,4.92644881034653
"Misiones",187,1.84618422351664
"Neuquén",129,1.27357093493928
"Río Negro",214,2.1127455819923
"Salta",140,1.38217000691085
"San Juan",36,0.355415144634219
"San Luis",42,0.414651002073255
"Santa Cruz",115,1.1353539342482
"Santa Fe",585,5.77549610030605
"Santiago del Estero",13,0.128344357784579
"Tierra del Fuego",53,0.523250074044822
"Tucumán",73,0.720702932174943
