"provincia","cantidad_escuelas_con_extranjeros","porcentaje_escuelas_por_provincia"
"Buenos Aires",5312,51.6430099163912
"Catamarca",19,0.184717091191911
"Chaco",67,0.651370795255687
"Chubut",181,1.75967334240716
"Ciudad de Buenos Aires",961,9.34279603344351
"Corrientes",77,0.748590316935641
"Córdoba",846,8.22477153412405
"Entre Ríos",112,1.08885864281548
"Formosa",111,1.07913669064748
"Jujuy",158,1.53606844254326
"La Pampa",58,0.563873225743729
"La Rioja",45,0.43748784755979
"Mendoza",517,5.02624927085359
"Misiones",146,1.41940501652732
"Neuquén",196,1.90550262492709
"Río Negro",256,2.48881975500681
"Salta",203,1.97355629010305
"San Juan",51,0.495819560567762
"San Luis",58,0.563873225743729
"Santa Cruz",107,1.0402488819755
"Santa Fe",666,6.47482014388489
"Santiago del Estero",25,0.243048804199883
"Tierra del Fuego",45,0.43748784755979
"Tucumán",69,0.670814699591678
