"provincia","cantidad_escuelas_con_extranjeros","porcentaje_escuelas_por_provincia"
"Buenos Aires",5350,51.526533757103
"C rdoba",828,7.97457382259463
"Catamarca",18,0.173360300491188
"Chaco",68,0.654916690744486
"Chubut",180,1.73360300491188
"Ciudad de Buenos Aires",968,9.32293171530386
"Corrientes",87,0.83790811904074
"Entre R os",136,1.30983338148897
"Formosa",125,1.20389097563325
"Jujuy",183,1.76249638832707
"La Pampa",52,0.500818645863431
"La Rioja",47,0.452663006838101
"Mendoza",521,5.01781758643937
"Misiones",168,1.61802947125108
"Neuqu n",196,1.88770104979293
"R o Negro",251,2.41741307907156
"Salta",183,1.76249638832707
"San Juan",44,0.423769623422903
"San Luis",55,0.529712029278629
"Santa Cruz",114,1.09794856977752
"Santa Fe",667,6.423962245979
"Santiago del Estero",25,0.240778195126649
"Tierra del Fuego",37,0.356351728787441
"Tucum n",80,0.770490224405278
