"provincia","cantidad_escuelas_con_extranjeros","porcentaje_escuelas_por_provincia"
"Buenos Aires",5363,51.5029290310189
"Catamarca",21,0.201670988187842
"Chaco",68,0.653029866513013
"Chubut",177,1.69979832901181
"Ciudad de Buenos Aires",975,9.36329588014981
"Corrientes",93,0.893114376260444
"Córdoba",951,9.13281475079228
"Entre Ríos",124,1.19081916834726
"Formosa",117,1.12359550561798
"Jujuy",166,1.59416114472294
"La Pampa",44,0.422548737155479
"La Rioja",48,0.460962258715068
"Mendoza",448,4.30231441467397
"Misiones",175,1.68059156823202
"Neuquén",198,1.90146931719965
"Río Negro",250,2.40084509747431
"Salta",192,1.84384903486027
"San Juan",45,0.432152117545376
"San Luis",40,0.38413521559589
"Santa Cruz",110,1.0563718428887
"Santa Fe",675,6.48228176318064
"Santiago del Estero",24,0.230481129357534
"Tierra del Fuego",39,0.374531835205993
"Tucumán",70,0.672236627292807
