"provincia","cantidad_escuelas_con_extranjeros","porcentaje_escuelas_por_provincia"
"Buenos Aires",5633,52.8473590393095
"Catamarca",26,0.243925321324702
"Chaco",80,0.750539450229853
"Chubut",190,1.7825311942959
"Ciudad de Buenos Aires",957,8.97832817337461
"Corrientes",105,0.985083028426682
"Córdoba",755,7.08321606154424
"Entre Ríos",130,1.21962660662351
"Formosa",145,1.36035275354161
"Jujuy",181,1.69809550614504
"La Pampa",63,0.591049817056009
"La Rioja",40,0.375269725114926
"Mendoza",472,4.42818275635613
"Misiones",196,1.83882165306314
"Neuquén",183,1.71685899240079
"Río Negro",241,2.26100009381743
"Salta",182,1.70747724927291
"San Juan",63,0.591049817056009
"San Luis",65,0.609813303311755
"Santa Cruz",120,1.12580917534478
"Santa Fe",666,6.24824092316352
"Santiago del Estero",31,0.290834036964068
"Tierra del Fuego",53,0.497232385777277
"Tucumán",82,0.769302936485599
