"provincia","cantidad_escuelas_con_extranjeros","porcentaje_escuelas_por_provincia"
"Buenos Aires",5589,55.0694649719184
"Catamarca",24,0.236476500147798
"Chaco",66,0.650310375406444
"Chubut",177,1.74401418859001
"Ciudad de Buenos Aires",915,9.01566656813479
"Corrientes",82,0.807961375504976
"Córdoba",670,6.60163562912602
"Entre Ríos",87,0.857227313035767
"Formosa",140,1.37944625086215
"Jujuy",173,1.70460143856538
"La Pampa",62,0.610897625381811
"La Rioja",44,0.433540250270963
"Mendoza",489,4.81820869051138
"Misiones",193,1.90166518868854
"Neuquén",137,1.34988668834368
"Río Negro",233,2.29579268893487
"Salta",140,1.37944625086215
"San Juan",40,0.39412750024633
"San Luis",43,0.423687062764804
"Santa Cruz",110,1.08385062567741
"Santa Fe",601,5.9217656912011
"Santiago del Estero",15,0.147797812592374
"Tierra del Fuego",49,0.482806187801754
"Tucumán",70,0.689723125431077
